tipo,nome,citta,provincia,indirizzo,lat,lon,sito,telefono,stato,note
pista,New Track Baruccana Offroad,Seveso,MB,"Via della Roggia",45.6465667,9.1578846,https://pistaoffroadrc.it/,+39 347 793 6565,censita,copertina drone dal sito del club
pista,Trial Attack Racing Team,Rescaldina,MI,,,,,,censita,inserita da Giuseppe
pista,Pista MelzoRC,Melzo,MI,"Via Primo Maggio 31",45.4920616,9.4072942,https://www.pistamelzo.com/,+39 366 1535845,lotto 02,senza copertina
pista,S.R.B. OffRoad,Nembro,BG,"Via Luigi Carrara 49",45.7484441,9.7778444,https://www.srboffroad.it/,+39 340 477 0604,lotto 02,orari non pubblicati
pista,Nitro Buggy Genzone,Genzone,PV,"Via Garibaldi 39",45.1821666,9.3440223,http://nitrobuggygenzone.altervista.org/,+39 331 1397659,lotto 02,orari non pubblicati
pista,Crazy Club Modellismo,Varallo Pombia,NO,"Via Selvigia 23",45.6659365,8.638368,https://www.crazyclubmodellismo.com/,+39 347 836 2283,SCARTATA,Google la da chiusa temporaneamente
negozio,Milan Model Modellismo,Novate Milanese,MI,"Via Cascina del Sole 20",45.532806,9.1421261,https://www.modellismomilano.it/,+39 02 23054659,lotto 02,ha una pista off road propria
negozio,Modellismo Varesino,Castronno,VA,"Via Lombardia 6",45.7539262,8.8098737,https://www.modellismovaresino.it/,+39 0332 892467,lotto 02,
negozio,Team Model di Alberto Poli,Corsico,MI,"Via Giuseppe Garibaldi 47",45.4307376,9.1085735,https://www.teammodel.it/,+39 02 45100439,lotto 02,orari non pubblicati
negozio,Modellismo Fioroni,Casarile,MI,"Via Vincenzo Monti 4",45.3136507,9.1050938,https://www.modellismofioroni.com/,+39 02 90096362,lotto 02,orari non pubblicati
negozio,Modeltecnic,Lissone,MB,"Via Martiri della Liberta 74/C",45.6191571,9.2463739,https://www.modeltecnic.it/,+39 039 4669028,lotto 02,vivo su Maps 41 recensioni
negozio,Jonathan Modellismo,Sesto San Giovanni,MI,"Via Jannozzi 52",,,https://shop.jonathan.it/,+39 02 4947 8907,DA DECIDERE,Google lo da chiuso definitivamente
negozio,Jonathan Modellismo,Mogliano Veneto,TV,"Via Pra dei Roveri 4/A",,,https://shop.jonathan.it/,+39 041 590 2993,DA DECIDERE,fuori Lombardia ma attivo
pista,Miniautodromo di Leno,Leno,BS,"Via O. Rosai",45.3746026,10.2097665,https://www.lenorc.it/,+39 333 8099012,lotto 03,on_road + 5 servizi + copertina aerea
pista,Aero Club Aeromodellisti Bergamo,Grassobbio,BG,"Campo di volo",45.646156,9.7342793,https://www.aeromodellistiaecbg.eu/,+39 347 604 8020,lotto 03,categoria volo; orari estivi e invernali completi
pista,Campo Volo Ali Azzurre,Cermenate,CO,"Via Caio Plinio 29",45.7138661,9.0899765,https://www.aliazzurre.it/,,lotto 03,categoria volo; nessun telefono pubblico
pista,G.A.B.E. Brianza Est,Busnago,MB,"Cascina Corte Anna",45.6100,9.4785,http://www.gabebusnago.it/,,lotto 03,coordinate pubblicate dal club stesso
pista,Campo Volo GAM ASD,Desio,MB,"Via Giorgio Ambrosoli",45.5995476,9.2133547,https://www.gamasd.it/,+39 377 174 9502,lotto 03,sede a Cusano Milanino, campo a Desio
pista,Gruppo Falchi Bergamo,Zanica,BG,"Sede Via F.lli Calvi 3; campo ex SS573",,,https://www.gruppofalchi.com/,,lotto 03,SENZA COORDINATE: il campo non ha una scheda Maps
pista,ZRING Mini-Z,Malnate,VA,"Via Morandi (non confermato)",,,https://zring.club/,,SCARTATA,nessuna scheda Maps e nessuna attivita dopo gennaio 2024
pista,My Mini4WD World,Segrate,MI,,,,https://www.mymini4wdworld.it/,+39 347 0521763,SCARTATA,organizzatore di gare senza sede fissa: non e una pista
pista,Mini4wd Garage Franciacorta,Rovato,BS,,,,,,SCARTATA,gare in sedi diverse ogni volta
pista,Wonderland,Pavia,PV,,,,,,SCARTATA,negozio chiuso
pista,Mozzate Arena / Sporting Club 63,Mozzate,CO,,,,,,SCARTATA,oggi e un centro padel/fitness
pista,Model Drome,Peschiera Borromeo,MI,,,,,,SCARTATA,oggi e un simulatore VR
pista,Sport Park,Vedano al Lambro,MB,,,,,,SCARTATA,oggi e un minigolf
pista,Gruppo Aeromodellisti Valceresio,Arcisate,VA,,,,,,SCARTATA,nessuna traccia di attivita dopo il 2019
pista,AVA Aeromodellisti Varese,Castiglione Olona,VA,,,,,,SCARTATA,dati segnaposto nelle uniche fonti trovate
pista,Aeroteam Novara,Novara,NO,,,,,,SCARTATA,sito ufficiale non raggiungibile e dati insufficienti
